ema200,rsi,macd,bb_width,price_change,volume_change,volume_ratio,target
0.004255298696927886,0.30898162536584767,0.38272024106173985,0.05400900108678308,0.2927219099802462,0.0,0.019410418741868517,0
0.0020547665848175377,0.27009765839444105,0.38308254061200453,0.09589068940216532,0.2982493175305624,0.0,0.011551570570052641,0
0.005183085101538316,0.5145269943502239,0.382606420996916,0.03503064689906958,0.30326515075512384,0.0,0.02567725078728845,0
0.003312221915509584,0.27127593978234277,0.3830014110351529,0.10702563565747858,0.290789092288266,0.0,0.042832047515880094,0
0.00495856929391969,0.7291247456071959,0.382921337361363,0.12285575882635467,0.33392971946067196,0.0,0.10150872661589246,0
0.004637731944068004,0.5786399448314042,0.38308967354169704,0.18966445709017427,0.29360667395996304,0.0,0.028971178823033128,0
0.004949626245985244,0.5182833892220076,0.38316880656763075,0.04696589412899138,0.2916300391350113,0.0,0.03762300628143825,0
0.0055664499706007,0.2687518635413865,0.3829179214610202,0.04046783997416564,0.2905072686730743,0.0,0.0967700487651168,0
0.0061798181805891444,0.5916180197030215,0.3827915656105911,0.03732415599034547,0.30055329072565984,0.0,0.024131243083020087,0
0.005289439288751173,0.7372376653834264,0.3832196915712875,0.07586109481862735,0.3115863141920964,0.0,0.0017347725310060066,0
0.03439852120012815,0.5313593326242283,0.3879541651211798,0.026283302373161236,0.3045778932995094,0.0,0.01349627094590688,0
0.0037722575836845605,0.1817271940760115,0.38293636091504396,0.14466937711622982,0.3004232685943663,0.0,0.04251791733382962,0
0.0035970819829196313,0.3648916165359095,0.382810132100553,0.08316015369698665,0.3114148915655386,0.0,0.02455906376883997,0
0.005203824750524668,0.27851693456507376,0.38275750736554276,0.14603965703915975,0.29980940126361205,0.0,0.02138302783120656,0
0.004972591682757308,0.5279862667962255,0.3831297662621363,0.07236466280847689,0.30339912073715825,0.0,0.05632525709154838,0
0.004987956778121809,0.46197505736661704,0.38303832082885153,0.09671245473340559,0.3028151201272547,0.0,0.015817890763374174,0
0.012870820570493345,0.4741851594360654,0.3830812669045985,0.038121971494262386,0.29559974165009606,0.0,0.02057881671550936,0
0.0062402563402316,0.6087780002922478,0.38295349924689304,0.05304628698544343,0.2960191258714951,0.0,0.014716166107664014,0
0.004127843603937731,0.5193064384935365,0.38298575683483205,0.06895645165351842,0.3074481335306202,0.0,0.03866113312876092,0
0.005477692716953053,0.08532372116152018,0.38276324739132267,0.20694763880549624,0.2956621439924035,0.0,0.020912024274702703,0
0.005379893320599946,0.1512894377543078,0.3828408380851321,0.11901212823018713,0.2781230827718158,0.0,0.050130684255510066,0
0.003721377729065456,0.2811717403467713,0.38296888791899825,0.05573387447450923,0.29490336452311705,0.0,0.04291685950947461,0
0.004914607012076692,0.2339213745626489,0.382473268789725,0.1343390884488002,0.29336033571225356,0.0,0.054135159043801555,0
0.003444304460752535,0.4017399914315991,0.38289577675013325,0.05416791100996058,0.2912383932007427,0.0,0.03761514236491734,0
0.0040746002036257025,0.6598383386521923,0.38306705458416174,0.1043940995229557,0.3113266949168415,0.0,0.036416827352512095,0
0.003302221224353177,0.28411338159061944,0.38309181834511313,0.11693940912393047,0.29490222498482344,0.0,0.04717918903520531,0
0.0029593683120276376,0.5152276059506026,0.3831795426910188,0.062334321216609465,0.3110046968635853,0.0,0.02665243567032429,0
0.005294657308424958,0.3594526353692362,0.383089748027142,0.07486626144997938,0.29035295356523033,0.0,0.0265204228429494,0
0.0038509112780269737,0.3915027752673241,0.382832168909417,0.03645222489388683,0.29353854625176506,0.0,0.023525203887300183,0
0.9688407508871831,0.48460063189772434,0.3170234862362491,0.016950776427597423,0.29387840560793677,0.0,0.019693924575325216,0
0.003014283364496338,0.38419686308265893,0.3830458466507388,0.08823144309782975,0.27443920875572847,0.0,0.039263224116352594,0
0.9884877671240936,0.6341557637618451,0.405486155949278,0.02909253824763497,0.29746333004265313,0.0,0.012766274851624314,0
0.012772288891746055,0.6522198004749667,0.3852657580496033,0.056011246068826834,0.28595196470973494,0.0,0.09282243400491719,0
0.00422291657851269,0.4203885507974207,0.38333610133191764,0.034002778315546656,0.2917509681101912,0.0,0.05130369778851454,0
0.0035416293205097382,0.7145320944321983,0.3831128670085383,0.10020616719148046,0.29429810953536534,0.0,0.030473631977792657,0
0.003596359106745903,0.4738585775281499,0.38223869392011794,0.03473887817809947,0.3031642831098006,0.0,0.05746972192656596,0
0.0035336231539136727,0.21828908090506183,0.38286476876702263,0.09149845093468327,0.29292339930102124,0.0,0.04548515630416432,0
0.004341550608847195,0.5811332682229243,0.38298216893195886,0.0653527261956477,0.3048470591360152,0.0,0.10582578674632906,0
0.0034370937813011553,0.14617489011129203,0.3827430052827863,0.07775393660465907,0.2951663591385103,0.0,0.0517822313857457,0
0.0038936230074575707,0.634350700952,0.3831576361311748,0.10577665862223745,0.311309481605898,0.0,0.04493205861186154,0
0.005774818809072598,0.7169498941638713,0.38262069620150896,0.025791159790188076,0.30929875073933905,0.0,0.07524030604919936,0
0.004092927229068093,0.4158874936041775,0.38289987939104864,0.09998573007289525,0.29364513611075377,0.0,0.026373376982825315,0
0.0058873572090677555,0.5807923956797753,0.382918268822636,0.03841895171339489,0.3037334773485586,0.0,0.0347874548368185,0
0.030100787982557997,0.5339214509577892,0.3817489588627292,0.03617266037216328,0.28669929882527045,0.0,0.04873753830616606,0
0.004147545982962375,0.43330791764921,0.3830945437514531,0.058583009425178155,0.3017844850128108,0.0,0.008993274368589953,0
